id,title,year,runtime,genres,rating,numVotes
tt0113253,Halloween: The Curse of Michael Myers,1995.0,87.0,"Horror,Thriller",4.7,46009
tt0113256,"Good Men, Good Women",1995.0,108.0,"Drama,Romance",7.2,1309
tt0113269,Haunted,1995.0,108.0,"Drama,Horror",6.2,7820
tt0113277,Heat,1995.0,170.0,"Action,Crime,Drama",8.3,781775
tt0113278,Heatseeker,1995.0,91.0,"Action,Drama,Sci-Fi",4.2,1390
tt0113280,Heavy,1995.0,105.0,"Drama,Romance",6.7,6271
tt0113281,Men Behind the Sun 4,1995.0,91.0,"Drama,History,Horror",6.2,1005
tt0113292,Peace Hotel,1995.0,89.0,"Action,Crime,Drama",6.2,1372
tt0113303,Hideaway,1995.0,106.0,"Fantasy,Horror,Thriller",5.3,7940
tt0113305,Higher Learning,1995.0,128.0,"Crime,Drama,Thriller",6.5,22701
tt0113313,Hollow Point,1996.0,102.0,"Action,Comedy,Crime",5.7,2160
tt0113314,Hollow Reed,1996.0,104.0,"Drama,Romance",7.2,1202
tt0113321,Home for the Holidays,1995.0,103.0,"Comedy,Drama,Romance",6.6,15715
tt0113326,Rumble in the Bronx,1995.0,87.0,"Action,Comedy,Crime",6.8,48738
tt0113347,How to Make an American Quilt,1995.0,117.0,"Comedy,Drama,Romance",6.3,12980
tt0113356,Out of the Dark,1995.0,86.0,"Comedy,Horror",6.8,3114
tt0113360,The Hunted,1995.0,110.0,"Action,Drama,Thriller",5.9,6113
tt0113362,The Horseman on the Roof,1995.0,118.0,"Adventure,Drama,Romance",7.0,6605
tt0113368,I Like to Play Games,1995.0,95.0,"Drama,Thriller",5.0,1097
tt0113375,I.D.,1995.0,107.0,"Crime,Drama",7.3,7854
tt0113394,The Immortals,1995.0,92.0,"Action,Crime,Drama",5.5,1604
tt0113403,A Midwinter's Tale,1995.0,99.0,Comedy,7.2,2884
tt0113416,The Incredibly True Adventure of Two Girls in Love,1995.0,94.0,"Comedy,Drama,Romance",6.6,5675
tt0113419,The Indian in the Cupboard,1995.0,96.0,"Drama,Family,Fantasy",6.0,32638
tt0113429,"Institute Benjamenta, or This Dream That One Calls Human Life",1995.0,105.0,Drama,7.0,2155
tt0113438,Iron Eagle on the Attack,1995.0,96.0,"Action,Drama",3.4,1571
tt0113442,It Takes Two,1995.0,101.0,"Comedy,Family,Romance",6.0,27663
tt0113443,It's My Party,1996.0,110.0,"Drama,Romance",7.1,3383
tt0113448,Jack & Sarah,1995.0,110.0,"Comedy,Drama,Romance",6.6,5750
tt0113449,Jack-O,1995.0,88.0,Horror,3.5,2093
tt0113451,Jade,1995.0,95.0,"Crime,Drama,Thriller",5.4,15305
tt0113463,Jefferson in Paris,1995.0,139.0,"Biography,Drama,History",5.7,3324
tt0113464,Jeffrey,1995.0,92.0,"Comedy,Drama",6.8,7099
tt0113475,The Chinese Feast,1995.0,100.0,"Comedy,Romance",6.7,1616
tt0113481,Johnny Mnemonic,1995.0,96.0,"Action,Drama,Sci-Fi",5.6,79845
tt0113490,The Journey of August King,1995.0,91.0,Drama,6.5,1104
tt0113492,Judge Dredd,1995.0,96.0,"Action,Crime,Sci-Fi",5.6,130670
tt0113497,Jumanji,1995.0,104.0,"Adventure,Comedy,Family",7.1,405117
tt0113500,Jury Duty,1995.0,88.0,Comedy,4.3,9185
tt0113501,Just Cause,1995.0,102.0,"Action,Crime,Drama",6.4,32212
tt0113510,The Jonsson Gang's Greatest Robbery,1995.0,99.0,"Comedy,Crime",5.0,2546
tt0113526,Karan Arjun,1995.0,175.0,"Action,Drama,Fantasy",6.8,17317
tt0113533,Born to Be Wild,1995.0,100.0,"Adventure,Comedy,Drama",5.2,1805
tt0113537,Kicking and Screaming,1995.0,96.0,"Comedy,Drama,Romance",6.6,15893
tt0113538,A Kid in King Arthur's Court,1995.0,89.0,"Adventure,Comedy,Family",4.8,7253
tt0113540,Kids,1995.0,91.0,Drama,7.0,90360
tt0113542,Killer: A Journal of Murder,1995.0,91.0,"Biography,Crime,Drama",6.3,2504
tt0113552,Kiss of Death,1995.0,101.0,"Crime,Drama,Thriller",6.0,21006
tt0113556,The Last Wedding,1995.0,90.0,"Comedy,Drama",6.6,1039
tt0113557,Zero Kelvin,1995.0,113.0,Drama,7.2,2282
tt0113568,Ghost in the Shell,1995.0,83.0,"Action,Animation,Crime",7.9,169703
tt0113576,Kristin Lavransdatter,1995.0,180.0,Drama,4.5,1067
tt0113580,Kummeli Stories,1995.0,90.0,"Comedy,Musical,Sport",7.0,2594
tt0113598,Lang leve de koningin,1995.0,118.0,"Adventure,Drama,Family",7.3,1336
tt0113609,Last Gasp,1995.0,93.0,"Horror,Thriller",4.7,1098
tt0113613,The Last Supper,1995.0,92.0,"Comedy,Crime,Drama",6.7,16274
tt0113617,Last of the Dogmen,1995.0,118.0,"Adventure,Drama,Western",7.0,6454
tt0113623,The Graduates,1995.0,88.0,"Comedy,Drama,Romance",6.4,1594
