id,title,year,runtime,genres,rating,numVotes,budget,gross,votes
tt0113609,Last Gasp,1995.0,93.0,"Horror,Thriller",4.7,1098,,,
tt0113613,The Last Supper,1995.0,92.0,"Comedy,Crime,Drama",6.7,16274,,459749.0,14000.0
tt0113617,Last of the Dogmen,1995.0,118.0,"Adventure,Drama,Western",7.0,6454,,7024389.0,5000.0
tt0113623,The Graduates,1995.0,88.0,"Comedy,Drama,Romance",6.4,1594,,,
tt0113627,Leaving Las Vegas,1995.0,111.0,"Drama,Romance",7.5,143001,3600000.0,32029928.0,117000.0
tt0113649,Freedomfighters,1996.0,125.0,"Drama,History,War",6.9,2308,,,
tt0113670,A Little Princess,1995.0,97.0,"Drama,Family,Fantasy",7.6,38603,17000000.0,10015449.0,33000.0
tt0113674,Live Nude Girls,1995.0,95.0,Comedy,5.2,2130,,,
tt0113677,Living in Oblivion,1995.0,90.0,"Comedy,Drama",7.5,21385,500000.0,1111790.0,17000.0
tt0113682,Loch Ness,1996.0,101.0,"Adventure,Drama,Fantasy",5.6,5299,,,
tt0113690,Lord of Illusions,1995.0,109.0,"Horror,Mystery,Thriller",6.1,20735,12000000.0,13294422.0,15000.0
tt0113691,Losing Isaiah,1995.0,111.0,Drama,6.4,6817,17000000.0,7603766.0,5600.0
tt0113703,Love Letter,1995.0,117.0,"Drama,Romance",7.9,12779,,,
tt0113718,Lumière and Company,1995.0,88.0,"Documentary,Drama",6.8,3507,,,
tt0113720,All Things Fair,1995.0,130.0,"Drama,Romance,War",6.8,8461,,,
tt0113725,Maborosi,1995.0,110.0,Drama,7.5,8198,,,
tt0113729,Mad Love,1995.0,93.0,"Comedy,Drama,Romance",5.4,7330,,15453274.0,6200.0
tt0113737,Magic in the Water,1995.0,101.0,"Adventure,Family,Fantasy",5.4,2199,,2680717.0,1900.0
tt0113748,Malicious,1995.0,92.0,"Drama,Thriller",5.1,1667,,,
tt0113749,Mallrats,1995.0,94.0,"Comedy,Romance",7.0,133200,8000000.0,2122561.0,118000.0
tt0113755,Man of the House,1995.0,96.0,"Comedy,Family",5.3,11050,,40070995.0,8900.0
tt0113762,The Mangler,1995.0,106.0,"Drama,Horror,Mystery",4.4,10633,,1781383.0,8500.0
tt0113774,Margaret's Museum,1995.0,114.0,Drama,7.2,1435,,,
tt0113799,Memories,1995.0,113.0,"Animation,Comedy,Drama",7.5,24951,,,
tt0113808,Miami Rhapsody,1995.0,95.0,"Comedy,Romance",5.4,3692,,5221281.0,3100.0
tt0113819,Mighty Aphrodite,1995.0,95.0,"Comedy,Fantasy,Romance",7.0,44514,15000000.0,6468498.0,39000.0
tt0113820,Mighty Morphin Power Rangers,1995.0,95.0,"Action,Adventure,Family",5.3,31769,,,
tt0113824,Whisper of the Heart,1995.0,111.0,"Animation,Drama,Family",7.8,81014,,,
tt0113828,Les Misérables,1995.0,175.0,"Comedy,Drama,History",7.4,4357,,,
tt0113834,August in the Water,1995.0,117.0,"Drama,Sci-Fi",7.3,1046,,,
tt0113845,Money Train,1995.0,110.0,"Action,Comedy,Crime",5.7,44884,68000000.0,35431113.0,39000.0
tt0113849,A Month by the Lake,1995.0,92.0,"Comedy,Drama,Romance",6.2,2759,,,
tt0113851,Moonlight and Valentino,1995.0,105.0,"Comedy,Drama,Romance",5.7,4381,,,
tt0113855,Mortal Kombat,1995.0,101.0,"Action,Adventure,Fantasy",5.8,130101,18000000.0,122195920.0,112000.0
